Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
18-09-07,Uttar Pradesh,Agra,Regional Office,Residential and others,12.3,14,206,489
20-09-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,11.7,191,426
24-09-07,Uttar Pradesh,Agra,Regional Office,Residential and others,6.7,7.8,149,328
27-09-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,11.1,184,423
10/1/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.4,10.6,154,355
10/4/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9,10.3,199,428
10/8/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.2,10.1,159,352
10/11/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,11.8,13.5,160,373
15-10-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,11.4,118,239
18-10-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.4,11.8,114,266
22-10-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,11.2,208,430
25-10-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.8,12.2,275,512
29-10-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.7,9.2,198,447
11/1/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.4,11.2,134,276
11/5/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.2,9.9,238,464
11/12/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,10.8,12.3,188,369
15-11-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.7,12.5,174,361
19-11-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.7,10.3,219,417
22-11-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.5,11.3,164,358
26-11-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,12,291,451
29-11-07,Uttar Pradesh,Agra,Regional Office,Residential and others,11.4,12.6,215,422
12/3/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,8.3,9.6,131,227
12/6/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,11.1,283,495
12/10/2007,Uttar Pradesh,Agra,Regional Office,Residential and others,9.5,11.2,224,463
13-12-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.8,10.8,154,260
20-12-07,Uttar Pradesh,Agra,Regional Office,Residential and others,9.6,10.7,194,330
24-12-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.2,11.7,127,328
27-12-07,Uttar Pradesh,Agra,Regional Office,Residential and others,8.8,9,137,324
31-12-07,Uttar Pradesh,Agra,Regional Office,Residential and others,10.3,11.8,272,462
1/2/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,35.8,396,634
1/4/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,NA,35,394,820
1/5/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,10,49.3,316,734
1/8/2007,Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive Areas,3.3,46,270,759
